last_name, first_name,player_id,year,xslg被長打率,exit_velocity_avg擊球初速,launch_angle_avg擊球仰角,hard_hit_percent強擊球率,z_swing_miss_percent揮空率,groundballs_percent滾地球比,flyballs_percent飛球比,ff_avg_spin轉速
Peterson, David,656849,2021,0.478,90.4,10.3,42.9,17.4,50,20.1,2069
Ashby, Aaron,676879,2021,0.324,87.3,0,35.8,17.8,63,22.2,2069
Chavez, Jesse,445926,2021,0.345,90.9,10.4,41.9,13.3,43,29.1,2068
Brault, Steven,643230,2021,0.508,89.1,10.5,44.2,16.1,45.3,30.5,2068
Pop, Zach,647315,2021,0.35,86.1,3.7,33.1,16.7,58.3,17.8,2066
Littell, Zack,641793,2021,0.396,90.4,12,46,23.5,48.5,28.8,2062
Bleier, Richard,542947,2021,0.343,88,-5.2,39,13.7,68,11,2059
Rodriguez, Joely,570257,2021,0.357,87.3,1,35.8,22.2,60,13.6,2059
Goudeau, Ashton,623485,2021,0.352,87.8,9,32,11.8,52,27,2058
Weathers, Ryan,677960,2021,0.474,90.3,12,43.2,15.2,45.9,22.3,2058
Eickhoff, Jerad,595191,2021,0.66,92.1,18.9,47.4,10.3,32.1,26.9,2057
Sheffield, Justus,656954,2021,0.53,92.9,10.2,47.1,11.3,47.1,22.6,2057
Wittgren, Nick,621295,2021,0.511,91.9,8.6,51.1,21.1,47.2,24.2,2056
Manning, Matt,666159,2021,0.463,91.4,11.8,42.3,12.6,44.7,25.4,2054
Peacock, Matt,676840,2021,0.415,90.2,2.7,45.9,10.7,59.6,16.6,2054
Rios, Yacksel,605441,2021,0.433,86.5,13.6,43.8,15,41.1,26,2053
Mazza, Chris,607391,2021,0.415,85.5,18.2,28,18.1,36.6,24.4,2053
Martinez, Carlos,593372,2021,0.47,89.8,8.4,42.5,11.6,51.7,22.4,2052
Miller, Andrew,453192,2021,0.411,86.3,10.1,36.9,16.8,44.7,31.1,2050
Workman, Brandon,519443,2021,0.509,93.1,7.8,53.3,16.8,44.4,26.7,2050
Garcia, Bryan,650530,2021,0.601,92.4,15.3,49.6,15.8,36.8,35.3,2047
Plesac, Zach,668676,2021,0.456,90.6,12.1,43.4,17,44.7,27.9,2047
Anderson, Ian,666120,2021,0.411,88.3,6.4,38.7,20.3,52.1,20.4,2045
Santiago, Hector,502327,2021,0.288,88.1,12.2,38.2,21.4,44.7,22.4,2044
Quintana, Jose,500779,2021,0.436,90.6,12.7,45.5,17.7,46,18.8,2041
de Geus, Brett,676969,2021,0.43,89.7,5,38.4,10.4,52.4,20.1,2040
Patton, Spencer,607359,2021,0.324,85.9,12.8,28.4,20.3,40.4,26.6,2036
Kaprielian, James,621076,2021,0.438,90.1,19,42.3,21.9,34.8,31.5,2035
